肖申克的救赎,1994,弗兰克·德拉邦特 Frank Darabont
霸王别姬,1993,陈凯歌 Kaige Chen
阿甘正传,1994,罗伯特·泽米吉斯 Robert Zemeckis
泰坦尼克号,1997,詹姆斯·卡梅隆 James Cameron
这个杀手不太冷,1994,吕克·贝松 Luc Besson
美丽人生,1997,罗伯托·贝尼尼 Roberto Benigni
千与千寻,2001,宫崎骏 Hayao Miyazaki
辛德勒的名单,1993,史蒂文·斯皮尔伯格 Steven Spielberg
盗梦空间,2010,克里斯托弗·诺兰 Christopher Nolan
忠犬八公的故事,2009,莱塞·霍尔斯道姆 Lasse Hallström
星际穿越,2014,克里斯托弗·诺兰 Christopher Nolan
楚门的世界,1998,彼得·威尔 Peter Weir
海上钢琴师,1998,朱塞佩·托纳多雷 Giuseppe Tornatore
三傻大闹宝莱坞,2009,拉库马·希拉尼 Rajkumar Hirani
机器人总动员,2008,安德鲁·斯坦顿 Andrew Stanton
放牛班的春天,2004,克里斯托夫·巴拉蒂 Christophe Barratier
无间道,2002,刘伟强 / 麦兆辉
疯狂动物城,2016,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore
大话西游之大圣娶亲,1995,刘镇伟 Jeffrey Lau
熔炉,2011,黄东赫 Dong-hyuk Hwang
教父,1972,弗朗西斯·福特·科波拉 Francis Ford Coppola
当幸福来敲门,2006,加布里尔·穆奇诺 Gabriele Muccino
控方证人,1957,比利·怀尔德 Billy Wilder
怦然心动,2010,罗伯·莱纳 Rob Reiner
龙猫,1988,宫崎骏 Hayao Miyazaki
触不可及,2011,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano
末代皇帝,1987,贝纳尔多·贝托鲁奇 Bernardo Bertolucci
寻梦环游记,2017,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina
蝙蝠侠：黑暗骑士,2008,克里斯托弗·诺兰 Christopher Nolan
活着,1994,张艺谋 Yimou Zhang
哈利·波特与魔法石,2001,Chris Columbus
指环王3：王者无敌,2003,彼得·杰克逊 Peter Jackson
乱世佳人,1939,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor
素媛,2013,李濬益 Jun-ik Lee
飞屋环游记,2009,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson
摔跤吧！爸爸,2016,涅提·蒂瓦里 Nitesh Tiwari
何以为家,2018,娜丁·拉巴基 Nadine Labaki
我不是药神,2018,文牧野 Muye Wen
十二怒汉,1957,Sidney Lumet
哈尔的移动城堡,2004,宫崎骏 Hayao Miyazaki
少年派的奇幻漂流,2012,李安 Ang Lee
鬼子来了,2000,姜文 Wen Jiang
大话西游之月光宝盒,1995,刘镇伟 Jeffrey Lau
天空之城,1986,宫崎骏 Hayao Miyazaki
猫鼠游戏,2002,史蒂文·斯皮尔伯格 Steven Spielberg
天堂电影院,1988,朱塞佩·托纳多雷 Giuseppe Tornatore
指环王2：双塔奇兵,2002,彼得·杰克逊 Peter Jackson
闻香识女人,1992,马丁·布莱斯 Martin Brest
罗马假日,1953,威廉·惠勒 William Wyler
钢琴家,2002,罗曼·波兰斯基 Roman Polanski
让子弹飞,2010,姜文 Wen Jiang
指环王1：护戒使者,2001,彼得·杰克逊 Peter Jackson
黑客帝国,1999,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),万籁鸣 Laiming Wan
辩护人,2013,杨宇硕 Woo-seok Yang
海蒂和爷爷,2015,阿兰·葛斯彭纳 Alain Gsponer
教父2,1974,弗朗西斯·福特·科波拉 Francis Ford Coppola
死亡诗社,1989,彼得·威尔 Peter Weir
狮子王,1994,Roger Allers / 罗伯·明可夫 Rob Minkoff
绿皮书,2018,彼得·法雷里 Peter Farrelly
搏击俱乐部,1999,大卫·芬奇 David Fincher
饮食男女,1994,李安 Ang Lee
美丽心灵,2001,朗·霍华德 Ron Howard
本杰明·巴顿奇事,2008,大卫·芬奇 David Fincher
窃听风暴,2006,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck
情书,1995,岩井俊二 Shunji Iwai
两杆大烟枪,1998,Guy Ritchie
穿条纹睡衣的男孩,2008,马克·赫尔曼 Mark Herman
西西里的美丽传说,2000,朱塞佩·托纳多雷 Giuseppe Tornatore
看不见的客人,2016,奥里奥尔·保罗 Oriol Paulo
拯救大兵瑞恩,1998,史蒂文·斯皮尔伯格 Steven Spielberg
飞越疯人院,1975,米洛斯·福尔曼 Miloš Forman
音乐之声,1965,罗伯特·怀斯 Robert Wise
小鞋子,1997,马基德·马基迪 Majid Majidi
阿凡达,2009,詹姆斯·卡梅隆 James Cameron
海豚湾,2009,路易·西霍尤斯 Louie Psihoyos
沉默的羔羊,1991,乔纳森·戴米 Jonathan Demme
哈利·波特与死亡圣器(下),2011,大卫·叶茨 David Yates
致命魔术,2006,克里斯托弗·诺兰 Christopher Nolan
禁闭岛,2010,Martin Scorsese
美国往事,1984,赛尔乔·莱翁内 Sergio Leone
布达佩斯大饭店,2014,韦斯·安德森 Wes Anderson
蝴蝶效应,2004,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber
心灵捕手,1997,格斯·范·桑特 Gus Van Sant
低俗小说,1994,昆汀·塔伦蒂诺 Quentin Tarantino
春光乍泄,1997,王家卫 Kar Wai Wong
摩登时代,1936,查理·卓别林 Charles Chaplin
七宗罪,1995,大卫·芬奇 David Fincher
喜剧之王,1999,周星驰 Stephen Chow / 李力持 Lik-Chi Lee
致命ID,2003,詹姆斯·曼高德 James Mangold
杀人回忆,2003,奉俊昊 Joon-ho Bong
被嫌弃的松子的一生,2006,中岛哲也 Tetsuya Nakashima
加勒比海盗,2003,戈尔·维宾斯基 Gore Verbinski
功夫,2004,周星驰 Stephen Chow
红辣椒,2006,今敏 Satoshi Kon
哈利·波特与阿兹卡班的囚徒,2004,Alfonso Cuarón
超脱,2011,托尼·凯耶 Tony Kaye
狩猎,2012,托马斯·温特伯格 Thomas Vinterberg
请以你的名字呼唤我,2017,卢卡·瓜达尼诺 Luca Guadagnino
剪刀手爱德华,1990,蒂姆·波顿 Tim Burton
7号房的礼物,2013,李焕庆 Hwan-kyeong Lee
勇敢的心,1995,梅尔·吉布森 Mel Gibson
断背山,2005,李安 Ang Lee
唐伯虎点秋香,1993,李力持 Lik-Chi Lee
天使爱美丽,2001,让-皮埃尔·热内 Jean-Pierre Jeunet
入殓师,2008,泷田洋二郎 Yôjirô Takita
第六感,1999,M·奈特·沙马兰 M. Night Shyamalan
幽灵公主,1997,宫崎骏 Hayao Miyazaki
重庆森林,1994,王家卫 Kar Wai Wong
爱在黎明破晓前,1995,理查德·林克莱特 Richard Linklater
小森林 夏秋篇,2014,森淳一 Junichi Mori
哈利·波特与密室,2002,Chris Columbus
阳光灿烂的日子,1994,姜文 Wen Jiang
一一,2000,杨德昌 Edward Yang
蝙蝠侠：黑暗骑士崛起,2012,克里斯托弗·诺兰 Christopher Nolan
菊次郎的夏天,1999,北野武 Takeshi Kitano
超能陆战队,2014,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams
消失的爱人,2014,大卫·芬奇 David Fincher
无人知晓,2004,是枝裕和 Hirokazu Koreeda
完美的世界,1993,克林特·伊斯特伍德 Clint Eastwood
小森林 冬春篇,2015,森淳一 Junichi Mori
爱在日落黄昏时,2004,理查德·林克莱特 Richard Linklater
倩女幽魂,1987,程小东 Siu-Tung Ching
借东西的小人阿莉埃蒂,2010,米林宏昌 Hiromasa Yonebayashi
甜蜜蜜,1996,陈可辛 Peter Chan
侧耳倾听,1995,近藤喜文 Yoshifumi Kondo
萤火之森,2011,大森贵弘 Takahiro Omori
驯龙高手,2010,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders
幸福终点站,2004,史蒂文·斯皮尔伯格 Steven Spielberg
时空恋旅人,2013,理查德·柯蒂斯 Richard Curtis
玛丽和马克思,2009,亚当·艾略特 Adam Elliot
怪兽电力公司,2001,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman
大鱼,2003,蒂姆·波顿 Tim Burton
告白,2010,中岛哲也 Tetsuya Nakashima
教父3,1990,弗朗西斯·福特·科波拉 Francis Ford Coppola
阳光姐妹淘,2011,姜炯哲 Hyeong-Cheol Kang
神偷奶爸,2010,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud
射雕英雄传之东成西就,1993,刘镇伟 Jeffrey Lau
傲慢与偏见,2005,乔·怀特 Joe Wright
玩具总动员3,2010,李·昂克里奇 Lee Unkrich
一个叫欧维的男人决定去死,2015,汉内斯·赫尔姆 Hannes Holm
釜山行,2016,延尚昊 Sang-ho Yeon
恐怖直播,2013,金秉祐 Byeong-woo Kim
被解救的姜戈,2012,昆汀·塔伦蒂诺 Quentin Tarantino
寄生虫,2019,奉俊昊 Joon-ho Bong
哪吒闹海,1979,王树忱 Shuchen Wang / 严定宪 Dingxian Yan
未麻的部屋,1997,今敏 Satoshi Kon
血战钢锯岭,2016,梅尔·吉布森 Mel Gibson
头号玩家,2018,史蒂文·斯皮尔伯格 Steven Spielberg
我是山姆,2001,杰茜·尼尔森 Jessie Nelson
哈利·波特与火焰杯,2005,迈克·内威尔 Mike Newell
七武士,1954,黑泽明 Akira Kurosawa
新世界,2013,朴勋政 Hoon-jung Park
喜宴,1993,李安 Ang Lee
黑客帝国3：矩阵革命,2003,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski
模仿游戏,2014,莫滕·泰杜姆 Morten Tyldum
电锯惊魂,2004,詹姆斯·温 James Wan
花样年华,2000,王家卫 Kar Wai Wong
卢旺达饭店,2004,特瑞·乔治 Terry George
三块广告牌,2017,马丁·麦克唐纳 Martin McDonagh
头脑特工队,2015,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen
你的名字。,2016,新海诚 Makoto Shinkai
疯狂原始人,2013,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders
上帝之城,2002,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund
风之谷,1984,宫崎骏 Hayao Miyazaki
达拉斯买家俱乐部,2013,让-马克·瓦雷 Jean-Marc Vallée
谍影重重3,2007,保罗·格林格拉斯 Paul Greengrass
英雄本色,1986,吴宇森 John Woo
纵横四海,1991,吴宇森 John Woo
心迷宫,2014,忻钰坤 Yukun Xin
惊魂记,1960,阿尔弗雷德·希区柯克 Alfred Hitchcock
岁月神偷,2010,罗启锐 Alex Law
记忆碎片,2000,克里斯托弗·诺兰 Christopher Nolan
九品芝麻官,1994,王晶 Jing Wong
海街日记,2015,是枝裕和 Hirokazu Koreeda
忠犬八公物语,1987,Seijirô Kôyama
荒蛮故事,2014,达米安·斯兹弗隆 Damián Szifron
爆裂鼓手,2014,达米恩·查泽雷 Damien Chazelle
绿里奇迹,1999,Frank Darabont
贫民窟的百万富翁,2008,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan
真爱至上,2003,理查德·柯蒂斯 Richard Curtis
爱在午夜降临前,2013,理查德·林克莱特 Richard Linklater
小偷家族,2018,是枝裕和 Hirokazu Koreeda
东邪西毒,1994,王家卫 Kar Wai Wong
无敌破坏王,2012,瑞奇·莫尔 Rich Moore
冰川时代,2002,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge
疯狂的石头,2006,宁浩 Hao Ning
色，戒,2007,李安 Ang Lee
黑天鹅,2010,达伦·阿罗诺夫斯基 Darren Aronofsky
你看起来好像很好吃,2010,藤森雅也 Masaya Fujimori
恐怖游轮,2009,克里斯托弗·史密斯 Christopher Smith
雨中曲,1952,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly
雨人,1988,巴瑞·莱文森 Barry Levinson
恋恋笔记本,2004,尼克·卡索维茨 Nick Cassavetes
2001太空漫游,1968,斯坦利·库布里克 Stanley Kubrick
魔女宅急便,1989,宫崎骏 Hayao Miyazaki
萤火虫之墓,1988,高畑勋 Isao Takahata
城市之光,1931,Charles Chaplin
可可西里,2004,陆川 Chuan Lu
遗愿清单,2007,罗伯·莱纳 Rob Reiner
虎口脱险,1966,杰拉尔·乌里 Gérard Oury
大佛普拉斯,2017,黄信尧 Hsin-yao Huang
人工智能,2001,史蒂文·斯皮尔伯格 Steven Spielberg
初恋这件小事,2011,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010"
海边的曼彻斯特,2016,肯尼斯·罗纳根 Kenneth Lonergan
牯岭街少年杀人事件,1991,杨德昌 Edward Yang
无间道2,2003,刘伟强 / 麦兆辉
罗生门,1950,黑泽明 Akira Kurosawa
终结者2：审判日,1991,詹姆斯·卡梅隆 James Cameron
二十二,2015,郭柯 Ke Guo
茶馆,1982(中国大陆),谢添 Tian Xie
奇迹男孩,2017,斯蒂芬·卓博斯基 Stephen Chbosky
东京教父,2003,今敏 Satoshi Kon
青蛇,1993,徐克 Hark Tsui
房间,2015,伦尼·阿伯拉罕森 Lenny Abrahamson
新龙门客栈,1992,李惠民 Raymond Lee
背靠背，脸对脸,1994,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang
疯狂的麦克斯4：狂暴之路,2015,乔治·米勒 George Miller
波西米亚狂想曲,2018,布莱恩·辛格 Bryan Singer
无耻混蛋,2009,Quentin Tarantino
魂断蓝桥,1940,茂文·勒鲁瓦 Mervyn LeRoy
小丑,2019,托德·菲利普斯 Todd Phillips
血钻,2006,爱德华·兹威克 Edward Zwick
步履不停,2008,是枝裕和 Hirokazu Koreeda
黑客帝国2：重装上阵,2003,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski
彗星来的那一夜,2013,詹姆斯·沃德·布柯特 James Ward Byrkit
千钧一发,1997,安德鲁·尼科尔 Andrew Niccol
战争之王,2005,安德鲁·尼科尔 Andrew Niccol
燃情岁月,1994,爱德华·兹威克 Edward Zwick
崖上的波妞,2008,宫崎骏 Hayao Miyazaki
谍影重重2,2004,保罗·格林格拉斯 Paul Greengrass
阿飞正传,1990,王家卫 Kar Wai Wong
爱乐之城,2016,达米恩·查泽雷 Damien Chazelle
海洋,2009,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud
谍影重重,2002,道格·里曼 Doug Liman
穿越时空的少女,2006,细田守 Mamoru Hosoda
香水,2006,汤姆·提克威 Tom Tykwer
地球上的星星,2007,阿米尔·汗 Aamir Khan
再次出发之纽约遇见你,2013,约翰·卡尼 John Carney
我爱你,2011,秋昌民 Chang-min Choo
完美陌生人,2016,保罗·格诺维瑟 Paolo Genovese
朗读者,2008,史蒂芬·戴德利 Stephen Daldry
火星救援,2015,雷德利·斯科特 Ridley Scott
千年女优,2001,今敏 Satoshi Kon
驴得水,2016,周申 Shen Zhou / 刘露 Lu Liu
聚焦,2015,托马斯·麦卡锡 Thomas McCarthy
末路狂花,1991,雷德利·斯科特 Ridley Scott
小萝莉的猴神大叔,2015,卡比尔·汗 Kabir Khan
浪潮,2008,丹尼斯·甘塞尔 Dennis Gansel
